"dcterms:bibliographicCitation";"dcterms:title";"dcterms:alternative";"dcterms:publisher";"dcterms:date";"dcterms:type";"dcterms:format";"dcterms:creator";"dcterms:accrualMethod";"dcterms:abstract";"dcterms:tableOfContents";"dcterms:accessRights";"dcterms:rights";"dcterms:language";"dcterms:medium";"dcterms:isReferencedBy";"dcterms:source";"dcterms:relation";"dcterms:references";"dcterms:contributor";"dcterms:conformsTo";"dcterms:created";"dcterms:subject";"dcterms:identifier"
;"Documentation historique";;;;"Série organique";;;;;;;;;;;;;;;;;;
;"Documents syndicaux et archives de syndicalistes";;;;"Sous-série organique";;;;;;;;;;;;;;;;;;
"GOU A 07 02, GOU A 07 08";"Confédération générale du travail (CGT) du Doubs";;;"
1944-1980";"Dossier";;;;"Union départementale des syndicats ouvriers du Doubs : lettre mensuelle aux militants (août-septembre 1948) ; syndicat des Métaux Sochaux : cahier appartenant à Georges Gauchet (1944-1945). Suicide de Philippe Marchau : n°36 (spécial) du magazine syndical La Cochenille (11 février 1980).";;;;;;;;;"GOUX, Jean-Paul, Mémoires de l'Enclave, Actes Sud, 2e éd., 2003, chap. XXIX, p. 564-565.";;;;;
"GOU A 07 03";"Lutte ouvrière (LO)";;;"1963-979";"Dossier";;;;"Tracts Peugeot-Sochaux.";;;;;;;;;"GOUX, Jean-Paul, Mémoires de l'Enclave, Actes Sud, 2e éd., 2003, chap. XXIII, p. 475-480.";;;;;
"GOU A 07 03/1";"3 juin 1963";;;"3 juin 1963";"Pièce";"Photocopie noir et blanc d'un tract imprimé, 1 p.";;;;;;;;;;;"Découpage collé sur le manuscrit 24 (GOU_03_23_0014). Extrait p. 480 des Mémoires de l'Enclave (chap. XXIII).";;;;;;
"
GOU A 07 01, GOU A 07 04 (010-061), GOU A 07 12 (109-132)";"Archives de Jean-Joseph Cadet";;;"1948-1984, s.d.";"
Dossier";;"https://maitron.fr/spip.php?article245535, notice CADET Jean-Joseph par Véronique Bourquin-Valzer, version mise en ligne le 9 février 2022, dernière modification le 18 septembre 2022.
Lien direct vers la notice";;;;;;;;;;;;;;;;
"GOU A 07 01 (010-061)";"Comité d'établissement (CE) et Comité central d'entreprise (CCE) de Sochaux";;;"
2 septembre 1948-décembre 1984, s.d.";"
Sous-dossier";;;;"
Procès-verbaux de réunions (1948-1980) et notes manuscrites de Jean-Paul Goux (dont deux inventaires, décembre 1984, s.d.).";;;;;;;;;;;;;;
"GOU A 07 04 (010-061)";"
Suicide de Serge Lhuillier";;;"
1970";"Sous-dossier";;;;"
Lettre manuscrite (23 janvier 1970) et notes manuscrites (s.d.), coupures de presse (23, 24 et 31 janvier 1970), tract syndical CGT (29 janvier 1970).";;;;;;;;;;;;;;
"GOU A 07 12 (109-132)";"Divers";;;"
1946-1983";"Sous-dossier";;;;"Lettre tapuscrit au secrétaire du syndicat des métaux de Sochaux (5 septembre 1946), note interne de la Direction du Personnel et des Relations Sociales de Sochaux (19 novembre 1982) et information de la direction au personnel de Sochaux (3 juin 1983).";;;;;;;;;"GOUX, Jean-Paul, Mémoires de l'Enclave, Actes Sud, 2e éd., 2003, chap. XIV, p. 374-375 et p. 386-389.";;;;;
"GOU A 07 05, GOU A 07 07";"Archives de Paul Rossetti";;;"1960-1975";"
Dossier";;"
https://maitron.fr/spip.php?article170033, notice ROSSETTI Paul, Henri par Louis Botella, version mise en ligne le 11 février 2015, dernière modification le 12 février 2015.
Lien direct vers la notice";;"
Sochaux : tracts (1960-1965), coupures de presse (1960-1968), bulletins d'adhésion (1960, s.d.), rapports sur les conflits avec Peugeot (1960-1965) dont un sur la séance de la Cour d'Appel de Besançon (1963), procès-verbaux du CE (novembre-décembre 1961) dont rectifications, informations de la direction de Sochaux au personnel (14 avril 1965), état des blessés dressé par la CFDT (12 juin 1968) suite aux manifestations du 11 juin 1968. Héricourt : rapport sur l'entrevue avec Edgar Faure (10 et 15 mars 1975), tracts (ac. 1969-1975), discours dans l'établissement (s.d.).";;;;;;;;;"GOUX, Jean-Paul, Mémoires de l'Enclave, Actes Sud, 2e éd., 2003, chap. XIV, p. 379-380.";;;;;
"GOU A 07 09, GOU A 07 12 (134-160)";"
Archives de Robert Roth";;;"1936-[années 1980]";"Dossier";;"
https://maitron.fr/spip.php?article129692, notice ROTH Robert par Claude Cuenot, version mise en ligne le 30 novembre 2010, dernière modification le 4 septembre 2015.
Lien direct vers la notice";;"Divers : inventaire et notes manuscrites de Jean-Paul Goux [années 1980], 2 délibérations de justice tapuscrits (14 novembre 1951, 1952), coupures de presse (Le Trait d'Union Peugeot, avril 1933), photographie légendée de l'atelier de polissage de l'usine de Beaulieu en 1900 (photocopie d'une coupure de presse, ac. 1939), rapport sur le PCF et sa situation chez Peugeot (1945-1947, 3 p.), livret La Famille Babebibobu de G. Monmousseau [vers 1947], historique de carrière de Robert Roth (4 p.), déclaration de la section du PCF de Seloncourt (ap. 1945). Peugeot-Sochaux : livret (1936).";;;;;;;;;;;;;;
;"Peugeot";;;;"Sous-série organique";;;;;;;;;;;;;;;;;;
;"Japy";;;;"Sous-série organique";;;;;;;;;;;;;;;;;;
;"Coupures de presse";;;;"Sous-série organique";;;;;;;;;;;;;;;;;;
;"Divers";;;;"Sous-série organique";;;;;;;;;;;;;;;;;;
